% Model,CPWG_BaseSim.mph
% Version,COMSOL 5.6.0.280
% Date,"Mar 19 2025, 21:38"
% Table,Table 21 - MUT_Integration
% freq (GHz),plane_x (mm),Electric field norm (V*m),emw.normE^2 (kg^2*m^4/(s^6*A^2)),S11 (m^2),S21 (m^2)
5,0.17200000000000007,0.3141577569655815,2684.7137292534285,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.18200000000000008,0.3083615168844757,2558.302868914151,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.19200000000000012,0.3024772428815065,2432.7414392572,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.20200000000000015,0.297027667142974,2320.593500602826,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.21200000000000005,0.29157539203778,2209.607490243865,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.2220000000000001,0.28673831434873676,2116.2057453501184,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.23200000000000012,0.28222084188173374,2032.556171397983,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.24200000000000013,0.27809610903252474,1955.7160693910316,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.25200000000000017,0.27330191121726793,1868.5441547505798,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.26200000000000007,0.2686116953707028,1786.6551638601966,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.27200000000000024,0.26415097904179174,1711.6600976850991,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.28200000000000003,0.2597367177920035,1639.9199637141078,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.29200000000000004,0.25555595315479845,1573.1186067186459,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.3020000000000001,0.25144717180107035,1508.4321276839707,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.3120000000000001,0.24751838986924304,1447.7269693006563,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.3220000000000001,0.2437981987606279,1390.8369164618666,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.33200000000000013,0.23974019208488406,1329.5946384931349,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.3420000000000002,0.23596147399874287,1275.0583261189659,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.3520000000000002,0.23268547269024037,1229.3910374054917,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.36200000000000004,0.22952924979520553,1184.6077831459454,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.37200000000000005,0.2263495650149618,1142.9003612338163,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.38200000000000006,0.22319834051681897,1102.753091482036,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.39200000000000007,0.21998396380662594,1063.1975288104422,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.40200000000000014,0.2166872443364129,1022.4903043471251,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.41200000000000014,0.21366159100571513,986.1782272238667,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.42200000000000015,0.21073158287587387,951.6619366964287,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,0.4320000000000002,0.20785901780660068,918.5193535524812,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
