%"freq
%References : ['S(1,1)','S(1,2)','S(2,1)','S(2,2)']
%Dependency : [freq]
%Num. Points : [200]
%Matrix Size : scalar
%Type : Real","S(1,1)
%References : []
%Dependency : [freq]
%Num. Points : [200]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(1,2)
%References : []
%Dependency : [freq]
%Num. Points : [200]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,1)
%References : []
%Dependency : [freq]
%Num. Points : [200]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,2)
%References : []
%Dependency : [freq]
%Num. Points : [200]
%Matrix Size : scalar
5.578 GHz,0.090 / -106.563 ,0.676 / -162.974 ,0.676 / -162.974 ,0.052 / -96.418 
5.588 GHz,0.104 / -107.777 ,0.665 / -168.923 ,0.665 / -168.923 ,0.055 / -99.605 
5.598 GHz,0.118 / -111.170 ,0.646 / -174.737 ,0.646 / -174.737 ,0.057 / -103.060 
5.608 GHz,0.132 / -116.305 ,0.619 / 179.668 ,0.619 / 179.668 ,0.058 / -106.873 
5.618 GHz,0.143 / -122.746 ,0.584 / 174.403 ,0.584 / 174.403 ,0.059 / -111.241 
5.628 GHz,0.152 / -130.131 ,0.543 / 169.623 ,0.543 / 169.623 ,0.058 / -116.374 
5.638 GHz,0.156 / -138.176 ,0.496 / 165.555 ,0.496 / 165.555 ,0.057 / -122.439 
5.648 GHz,0.156 / -146.651 ,0.446 / 162.527 ,0.446 / 162.527 ,0.054 / -129.553 
5.658 GHz,0.151 / -155.356 ,0.395 / 161.006 ,0.395 / 161.006 ,0.049 / -137.830 
5.668 GHz,0.141 / -164.103 ,0.346 / 161.623 ,0.346 / 161.623 ,0.042 / -147.501 
5.678 GHz,0.127 / -172.691 ,0.304 / 165.068 ,0.304 / 165.068 ,0.033 / -159.227 
5.688 GHz,0.110 / 179.136 ,0.276 / 171.634 ,0.276 / 171.634 ,0.022 / -175.429 
5.698 GHz,0.089 / 171.766 ,0.267 / -179.656 ,0.267 / -179.656 ,0.011 / 150.109 
5.709 GHz,0.068 / 165.965 ,0.278 / -171.187 ,0.278 / -171.187 ,0.010 / 56.167 
5.719 GHz,0.046 / 163.750 ,0.308 / -165.128 ,0.308 / -165.128 ,0.023 / 15.939 
5.729 GHz,0.025 / 172.890 ,0.349 / -162.120 ,0.349 / -162.120 ,0.038 / -2.371 
5.739 GHz,0.016 / -136.763 ,0.395 / -161.747 ,0.395 / -161.747 ,0.053 / -16.279 
5.749 GHz,0.027 / -95.562 ,0.444 / -163.344 ,0.444 / -163.344 ,0.067 / -28.714 
5.759 GHz,0.043 / -88.484 ,0.491 / -166.351 ,0.491 / -166.351 ,0.080 / -40.491 
5.769 GHz,0.059 / -89.445 ,0.535 / -170.357 ,0.535 / -170.357 ,0.090 / -51.904 
5.779 GHz,0.073 / -92.722 ,0.573 / -175.070 ,0.573 / -175.070 ,0.098 / -63.072 
5.789 GHz,0.085 / -96.865 ,0.605 / 179.723 ,0.605 / 179.723 ,0.103 / -74.046 
5.799 GHz,0.097 / -101.472 ,0.629 / 174.184 ,0.629 / 174.184 ,0.106 / -84.858 
5.809 GHz,0.107 / -106.500 ,0.644 / 168.439 ,0.644 / 168.439 ,0.105 / -95.544 
5.819 GHz,0.116 / -112.043 ,0.651 / 162.597 ,0.651 / 162.597 ,0.103 / -106.169 
5.829 GHz,0.124 / -118.218 ,0.649 / 156.752 ,0.649 / 156.752 ,0.098 / -116.848 
5.839 GHz,0.130 / -125.121 ,0.638 / 150.998 ,0.638 / 150.998 ,0.092 / -127.770 
5.849 GHz,0.134 / -132.807 ,0.619 / 145.432 ,0.619 / 145.432 ,0.084 / -139.227 
5.859 GHz,0.135 / -141.298 ,0.592 / 140.173 ,0.592 / 140.173 ,0.076 / -151.664 
5.869 GHz,0.132 / -150.601 ,0.558 / 135.366 ,0.558 / 135.366 ,0.067 / -165.729 
5.879 GHz,0.125 / -160.741 ,0.519 / 131.204 ,0.519 / 131.204 ,0.059 / 177.666 
5.889 GHz,0.114 / -171.794 ,0.475 / 127.933 ,0.475 / 127.933 ,0.051 / 157.445 
5.899 GHz,0.100 / 176.029 ,0.430 / 125.877 ,0.430 / 125.877 ,0.047 / 133.054 
5.910 GHz,0.082 / 162.217 ,0.387 / 125.425 ,0.387 / 125.425 ,0.046 / 105.968 
5.920 GHz,0.064 / 145.540 ,0.348 / 126.989 ,0.348 / 126.989 ,0.050 / 79.732 
5.930 GHz,0.046 / 122.913 ,0.318 / 130.817 ,0.318 / 130.817 ,0.056 / 56.895 
5.940 GHz,0.032 / 87.719 ,0.302 / 136.629 ,0.302 / 136.629 ,0.064 / 37.635 
5.950 GHz,0.030 / 40.862 ,0.302 / 143.284 ,0.302 / 143.284 ,0.070 / 21.149 
5.960 GHz,0.037 / 5.533 ,0.320 / 149.098 ,0.320 / 149.098 ,0.074 / 6.787 
5.970 GHz,0.046 / -14.613 ,0.353 / 152.750 ,0.353 / 152.750 ,0.073 / -5.538 
5.980 GHz,0.054 / -25.542 ,0.395 / 153.793 ,0.395 / 153.793 ,0.066 / -14.944 
5.990 GHz,0.059 / -29.551 ,0.441 / 152.448 ,0.441 / 152.448 ,0.055 / -18.411 
6.000 GHz,0.066 / -28.078 ,0.485 / 149.247 ,0.485 / 149.247 ,0.043 / -8.319 
