% Model,MSL_BaseSim.mph
% Version,COMSOL 5.6.0.280
% Date,"Apr 13 2025, 11:19"
% Table,Table 24 - Global Evaluation 1
% MS_W (mm),MUT_Er,freq (GHz),S11 (1),S21 (1)
1.5600000000000003,1.00506079689202,5,-0.25320205129770734+0.12269541342314372i,-0.4180360858744095-0.8631411950364785i
1.5600000000000003,1.00596703309471,5,-0.2532222268046166+0.12272648105133403i,-0.4180907614789435-0.8631043874893651i
1.5600000000000003,1.00687381604959,5,-0.25324240629124695+0.12275756592741804i,-0.41814546097993965-0.863067558125902i
1.5600000000000003,1.00778114625163,5,-0.2532625897946946+0.122788668106111i,-0.4182001844241757-0.8630307068978433i
1.5600000000000003,1.00868902419636,5,-0.2532827772902073+0.12281978757609235i,-0.4182549317935801-0.8629938338050455i
1.5600000000000003,1.00959745037993,5,-0.25330296877450686+0.1228509243866722i,-0.41830970313337623-0.8629569388117749i
1.5600000000000003,1.01871197493415,5,-0.25350510325606984+0.12316324820295121i,-0.418858738022209-0.8625867805228313i
1.5600000000000003,1.02788187361308,5,-0.2537076358803275+0.12347731944666165i,-0.41941018726425516-0.8622144117564803i
1.5600000000000003,1.03710765258186,5,-0.25391056495825665+0.12379315232256513i,-0.4199640675604478-0.8618398133102028i
1.5600000000000003,1.04638982419353,5,-0.25411388949389646+0.12411076108651622i,-0.42052039561900284-0.8614629651267103i
1.5600000000000003,1.05572890708386,5,-0.25431760790569247+0.12443016023644396i,-0.42107918842119296-0.8610838472965161i
1.5600000000000003,1.06512542626792,5,-0.2545217180278813+0.12475136437548011i,-0.42164046334049815-0.860702440134878i
1.5600000000000003,1.0745799132385,5,-0.2547262183791588+0.12507438834100476i,-0.4222042375349419-0.8603187231384656i
1.5600000000000003,1.08409290606633,5,-0.25493110725683443+0.12539924688969145i,-0.42277052863749487-0.8599326756282248i
1.5600000000000003,1.09366494950212,5,-0.25513638283063633+0.12572595522644786i,-0.4233393542949875-0.8595442767830261i
