%"freq
%References : ['S(1,1)','S(1,2)','S(2,1)','S(2,2)']
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Real","S(1,1)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(1,2)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,1)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,2)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
4.777 GHz,0.322 / -93.314 ,0.527 / -42.998 ,0.527 / -42.998 ,0.244 / 115.916 
4.780 GHz,0.324 / -94.550 ,0.510 / -44.568 ,0.510 / -44.568 ,0.247 / 112.698 
4.783 GHz,0.325 / -95.797 ,0.492 / -46.064 ,0.492 / -46.064 ,0.250 / 109.532 
4.786 GHz,0.326 / -97.054 ,0.473 / -47.465 ,0.473 / -47.465 ,0.252 / 106.420 
4.789 GHz,0.325 / -98.322 ,0.454 / -48.747 ,0.454 / -48.747 ,0.254 / 103.362 
4.792 GHz,0.323 / -99.601 ,0.434 / -49.884 ,0.434 / -49.884 ,0.255 / 100.356 
4.795 GHz,0.319 / -100.892 ,0.414 / -50.848 ,0.414 / -50.848 ,0.256 / 97.401 
4.797 GHz,0.313 / -102.193 ,0.394 / -51.612 ,0.394 / -51.612 ,0.257 / 94.494 
4.800 GHz,0.305 / -103.511 ,0.374 / -52.148 ,0.374 / -52.148 ,0.258 / 91.631 
4.803 GHz,0.295 / -104.858 ,0.355 / -52.430 ,0.355 / -52.430 ,0.258 / 88.813 
4.806 GHz,0.282 / -106.268 ,0.336 / -52.433 ,0.336 / -52.433 ,0.257 / 86.047 
4.809 GHz,0.266 / -107.802 ,0.318 / -52.136 ,0.318 / -52.136 ,0.256 / 83.346 
4.812 GHz,0.249 / -109.560 ,0.301 / -51.520 ,0.301 / -51.520 ,0.254 / 80.735 
4.815 GHz,0.229 / -111.687 ,0.285 / -50.572 ,0.285 / -50.572 ,0.252 / 78.245 
4.816 GHz,0.228 / -111.842 ,0.277 / -50.275 ,0.277 / -50.275 ,0.252 / 77.107 
4.817 GHz,0.227 / -111.986 ,0.270 / -49.899 ,0.270 / -49.899 ,0.251 / 75.978 
